Timestamp,Label,Binary_Label,pkt_rate_ratio,Flow Duration,Flow IAT Max,Flow Pkts/s,Fwd Pkts/s,Flow IAT Mean,Pkt Len Max,Pkt Size Avg,Fwd IAT Tot,iat_variation,Fwd Header Len,Fwd IAT Mean,Fwd IAT Max,Subflow Fwd Byts,Flow IAT Std,TotLen Fwd Pkts,Flow IAT Min,Init Bwd Win Byts,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Bwd Seg Size Avg,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Mean,day
2023-12-07 11:40:58.000000000,BENIGN,0,0.4098360655737705,72000000.0,6000000.0,0.6944444444444444,0.6944444444444444,1469387.7551020407,47.0,21.94,72000000.0,1.1795909879264626,1672.0,1469387.7551020407,6000000.0,1097.0,1733277.733278851,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94,lsnm2024_icmp_flood
2023-12-07 11:41:03.000000000,BENIGN,0,0.6199999876000003,1.0,0.0,50000000.0,31000000.0,0.0,770.0,293.98,0.0,0.0,1612.0,0.0,0.0,9452.0,0.0,9452.0,0.0,0.0,770.0,5247.0,5247.0,276.1578947368421,276.1578947368421,119.97928671135732,293.98,lsnm2024_icmp_flood
2023-12-07 11:41:46.000000000,BENIGN,0,0.5686274509803921,1000000.0,1000000.0,50.0,29.0,20408.163265306124,2896.0,320.96,1000000.0,6.999657016806175,1532.0,35714.28571428572,1000000.0,8253.0,142857.14285714284,8253.0,0.0,0.0,2896.0,7795.0,7795.0,371.1904761904762,371.1904761904762,631.965475247471,320.96,lsnm2024_icmp_flood
2023-12-07 11:41:55.000000000,BENIGN,0,0.625,30000000.0,4000000.0,1.6666666666666667,1.6666666666666667,612244.8979591837,63.0,42.36,30000000.0,1.9099125272464437,400.0,612244.8979591837,4000000.0,2118.0,1169336.1102674927,2118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.36,lsnm2024_icmp_flood
2023-12-07 11:42:40.000000000,BENIGN,0,0.5799999884000002,1.0,0.0,50000000.0,29000000.0,0.0,770.0,335.04,0.0,0.0,1508.0,0.0,0.0,10974.0,0.0,10974.0,0.0,0.0,770.0,5778.0,5778.0,275.14285714285717,275.14285714285717,113.87681314222212,335.04,lsnm2024_icmp_flood
2023-12-07 11:42:51.000000000,BENIGN,0,0.5617977528089888,39000000.0,4000000.0,1.2820512820512822,1.2820512820512822,795918.3673469388,63.0,45.44,39000000.0,1.6216027958983918,400.0,795918.3673469388,4000000.0,2272.0,1290665.0713994752,2272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44,lsnm2024_icmp_flood
2023-12-07 11:44:47.000000000,BENIGN,0,0.5263157894736842,45000000.0,5000000.0,1.1111111111111112,1.1111111111111112,918367.3469387755,63.0,42.8,45000000.0,2.130029848709811,400.0,918367.3469387755,5000000.0,2140.0,1956151.991089879,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,lsnm2024_icmp_flood
2023-12-07 11:44:56.000000000,BENIGN,0,0.41666666666666663,70000000.0,5000000.0,0.7142857142857143,0.7142857142857143,1428571.4285714286,47.0,22.66,70000000.0,1.2374360008712577,1516.0,1428571.4285714286,5000000.0,1133.0,1767766.952966369,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.66,lsnm2024_icmp_flood
2023-12-07 11:45:25.000000000,BENIGN,0,0.5599999888000002,1.0,0.0,50000000.0,28000000.0,0.0,1448.0,387.78,0.0,0.0,1456.0,0.0,0.0,9500.0,0.0,9500.0,0.0,0.0,1448.0,9889.0,9889.0,449.5,449.5,418.2671452097388,387.78,lsnm2024_icmp_flood
2023-12-07 11:45:37.000000000,BENIGN,0,0.4587155963302752,59000000.0,4000000.0,0.847457627118644,0.847457627118644,1204081.6326530613,63.0,49.24,59000000.0,1.161964089733527,400.0,1204081.6326530613,4000000.0,2462.0,1399100.7802146631,2462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24,lsnm2024_icmp_flood
