Timestamp,Label,Binary_Label,Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Flow Byts/s,Flow Pkts/s,Avg Pkt Size,Min Pkt Size,Protocol,day
2023-11-03 15:56:19.540625095,DDOS-UDP,1,5639069.7956085205,2.0,0.0,0.0,0.354668424490422,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.550341129,DDOS-UDP,1,10190680.980682373,2.0,0.0,0.0,0.19625773820132666,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.593040705,DDOS-UDP,1,10595744.609832764,2.0,0.0,0.0,0.18875502134545755,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.638447285,DDOS-UDP,1,10467444.41986084,2.0,0.0,0.0,0.19106860469258544,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.655912876,DDOS-UDP,1,5158512.115478516,2.0,0.0,0.0,0.38770869491589344,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.678004742,DDOS-UDP,1,474298.00033569336,2.0,0.0,0.0,4.216758237615301,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:19.841559649,DDOS-UDP,1,10627896.070480347,2.0,0.0,0.0,0.18818400055257659,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.166875601,DDOS-UDP,1,4671403.884887695,2.0,0.0,0.0,0.42813681909845863,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.225343704,DDOS-UDP,1,1146480.7987213135,2.0,0.0,0.0,1.744468814681091,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.231741190,DDOS-UDP,1,7920.742034912109,2.0,0.0,0.0,252.50159532839683,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.293561459,DDOS-UDP,1,9993126.630783081,2.0,0.0,0.0,0.20013756193573584,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.404145718,DDOS-UDP,1,7308035.850524902,2.0,0.0,0.0,0.27367134492865813,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.485998869,DDOS-UDP,1,5522011.280059814,2.0,0.0,0.0,0.3621868733267665,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.624136448,DDOS-UDP,1,3262488.36517334,2.0,0.0,0.0,0.6130290061260456,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.641608477,DDOS-UDP,1,4489566.326141357,2.0,0.0,0.0,0.4454773255836801,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.642716646,DDOS-UDP,1,6409008.502960205,2.0,0.0,0.0,0.31206074997033256,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:20.768332720,DDOS-UDP,1,6221712.112426758,2.0,0.0,0.0,0.3214549249241792,0.0,0.0,17.0,lsnm2024_ddos_udp
2023-11-03 15:56:21.363653660,DDOS-UDP,1,3245920.419692993,2.0,0.0,0.0,0.6161580511543054,0.0,0.0,17.0,lsnm2024_ddos_udp
